代码,名称,概念最大涨幅,昨日涨幅,当日涨幅,开盘涨幅,超大单净额,小单净额,筛选时间
2175,东方智造,0,1.56,7.22,2.188183807,115020000,-71820000,9:53:04
2175,东方智造,0,1.56,7.22,2.188183807,115340000,-71700000,9:53:18
2175,东方智造,0,1.56,7.22,2.188183807,115680000,-71950000,9:53:24
2175,东方智造,0,1.56,7.22,2.188183807,115680000,-71740000,9:53:33
2175,东方智造,0,1.56,7.22,2.188183807,115730000,-72350000,9:53:49
2175,东方智造,0,1.56,7.22,2.188183807,115730000,-72410000,9:53:54
2175,东方智造,0,1.56,7.44,2.188183807,115730000,-72540000,9:54:07
2175,东方智造,0,1.56,7.44,2.188183807,115730000,-72980000,9:54:14
2175,东方智造,0,1.56,7.22,2.188183807,114120000,-72250000,9:54:20
2175,东方智造,0,1.56,7.22,2.188183807,114210000,-72390000,9:54:29
2175,东方智造,0,1.56,7.22,2.188183807,114240000,-72330000,9:54:33
2175,东方智造,0,1.56,7.22,2.188183807,114320000,-72360000,9:54:38
2175,东方智造,0,1.56,7.22,2.188183807,114330000,-72330000,9:54:43
2175,东方智造,0,1.56,7.22,2.188183807,114460000,-72350000,9:54:48
2175,东方智造,0,1.56,7.22,2.188183807,114630000,-72500000,9:54:54
2175,东方智造,0,1.56,7.22,2.188183807,114890000,-72820000,9:54:59
2175,东方智造,0,1.56,7.22,2.188183807,115040000,-72980000,9:55:05
2175,东方智造,0,1.56,7.22,2.188183807,115140000,-73010000,9:55:12
2175,东方智造,0,1.56,7.22,2.188183807,115230000,-73040000,9:55:21
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
